"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"159","619","0.9697629127856","0.9697629127856","0.967490497639429","0.967490497639432"
"160","535","0.96926907213551","0.96926907213551","0.967472914242844","0.967472914242844"
"161","395","0.971796786250564","0.971796786250564","0.96747218160132","0.967472181601323"
"162","135","0.976719437196217","0.976719437196217","0.967433717921291","0.967433717921291"
"163","570","0.972396389794416","0.972396389794416","0.967429688392907","0.967429688392908"
"164","577","0.970631585528693","0.970631585528693","0.967393056316689","0.967393056316691"
"165","94","0.972471029950084","0.972471029950084","0.967377670844677","0.967377670844677"
"166","149","0.976608617035305","0.976608617035305","0.967372542354006","0.967372542354006"
"167","168","0.978439724160071","0.978439724160071","0.96733957348541","0.967339573485431"
"168","367","0.970560085978478","0.970560085978478","0.967336276598551","0.967336276598556"
"169","521","0.970991209780466","0.970991209780466","0.967323455371874","0.967323455371874"
"170","586","0.974219467190733","0.974219467190733","0.967309535182911","0.967309535182911"
"171","724","0.972624225117525","0.972624225117525","0.967256418672395","0.967256418672396"
"172","318","0.971012115511051","0.971012115511051","0.967105128197614","0.967105128197611"
"173","78","0.969012711120006","0.969012711120006","0.967098534423895","0.967098534423899"
"174","420","0.97781150387352","0.97781150387352","0.967043586309567","0.967043586309577"
"175","136","0.972449302103448","0.972449302103448","0.967024171309172","0.967024171309174"
"176","187","0.975880763521824","0.975880763521824","0.967008419516398","0.967008419516407"
"177","409","0.969380643876677","0.969380643876677","0.967007686874874","0.967007686874873"
"178","546","0.97782235413437","0.97782235413437","0.967001093101154","0.967001093101155"
"179","169","0.97442940983058","0.974429409830581","0.966968856874082","0.966968856874086"
"180","12","0.972648317173811","0.972648317173811","0.966937353288535","0.966937353288537"
"181","444","0.971048217927547","0.971048217927547","0.966926363665669","0.966926363665676"
"182","828","0.974751780737752","0.974751780737752","0.966850535267898","0.966850535267898"
"183","85","0.974716752142981","0.974716752142981","0.966845040456465","0.966845040456468"
"184","171","0.975523902100866","0.975523902100866","0.966820863286161","0.966820863286158"
"185","42","0.97675149470162","0.97675149470162","0.966797418757381","0.966797418757386"
"186","304","0.972252056096459","0.972252056096459","0.966760420360401","0.966760420360404"
"187","815","0.971412981874113","0.971412981874113","0.966739173756195","0.966739173756192"
"188","789","0.973507037701649","0.973507037701649","0.966716828189701","0.966716828189701"
"189","126","0.976162810646025","0.976162810646025","0.966707303849885","0.966707303849881"
"190","378","0.977369743521156","0.977369743521156","0.966642831395741","0.966642831395742"
"191","462","0.978065088728208","0.978065088728208","0.966617921583912","0.966617921583915"
"192","346","0.972651372789434","0.972651372789434","0.96661755526315","0.966617555263154"
"193","9","0.969984940339696","0.969984940339696","0.966614258376291","0.966614258376291"
"194","192","0.970192257026671","0.970192257026671","0.966573963092451","0.966573963092453"
"195","336","0.976833487871849","0.976833487871849","0.966527806676416","0.966527806676419"
"196","605","0.971347311994564","0.971347311994564","0.966486412430289","0.966486412430293"
"197","534","0.975245867023199","0.975245867023199","0.966485313468003","0.966485313468003"
"198","537","0.973413393532637","0.973413393532637","0.966457473090077","0.966457473090069"
"199","402","0.9700613358645","0.970061335864499","0.966375417239348","0.966375417239348"
"200","436","0.973237024626489","0.973237024626489","0.966345378936849","0.966345378936849"
"201","178","0.971681820776224","0.971681820776224","0.9663439136538","0.966343913653799"
